seed,dim,recon_rmse_hfval,y_rmse_test,nll_test_raw,coverage_test_raw,width_test_raw,historical_project_relative_report_path
111,10,0.0001554180053062737,0.019313884899020195,-2.5149497723073755,0.963100016117096,0.0825359970331192,result_out/fpca_dim_sweep_tm_outputs/seed_111/fpca_dim_010/fpca_dim010_seed111/report.json
222,10,0.0001554180053062737,0.018870433792471886,-2.5369237985220776,0.9501000046730042,0.07892729341983795,result_out/fpca_dim_sweep_tm_outputs/seed_222/fpca_dim_010/fpca_dim010_seed222/report.json
333,10,0.0001554180053062737,0.01731879636645317,-2.6109581788813645,0.9725000262260437,0.07956837117671967,result_out/fpca_dim_sweep_tm_outputs/seed_333/fpca_dim_010/fpca_dim010_seed333/report.json
555,10,0.0001554180053062737,0.02157732844352722,-2.403537985699074,0.9562000036239624,0.08299719542264938,result_out/fpca_dim_sweep_tm_outputs/seed_555/fpca_dim_010/fpca_dim010_seed555/report.json
42,12,2.0164014131296426e-05,0.020152661949396133,-2.473459386191489,0.9674999713897705,0.08564294129610062,result_out/fpca_dim_sweep_tm_outputs/seed_042/fpca_dim_012/fpca_dim012_seed42/report.json
55,12,2.0164014131296426e-05,0.018154222518205643,-2.5855061461666673,0.9692999720573425,0.07839377224445343,result_out/fpca_dim_sweep_tm_outputs/seed_055/fpca_dim_012/fpca_dim012_seed55/report.json
66,12,2.0164014131296426e-05,0.01687660999596119,-2.6186033098062262,0.9569000005722046,0.08190514147281647,result_out/fpca_dim_sweep_tm_outputs/seed_066/fpca_dim_012/fpca_dim012_seed66/report.json
77,12,2.0164014131296426e-05,0.02061527408659458,-2.4497217742549613,0.9610000252723694,0.08612668514251709,result_out/fpca_dim_sweep_tm_outputs/seed_077/fpca_dim_012/fpca_dim012_seed77/report.json
88,12,2.0164014131296426e-05,0.020037472248077393,-2.464295206035849,0.9796000123023987,0.08443818986415863,result_out/fpca_dim_sweep_tm_outputs/seed_088/fpca_dim_012/fpca_dim012_seed88/report.json
99,12,2.0164014131296426e-05,0.01923246681690216,-2.517674485320049,0.9667999744415283,0.08392520248889923,result_out/fpca_dim_sweep_tm_outputs/seed_099/fpca_dim_012/fpca_dim012_seed99/report.json
111,12,2.0164014131296426e-05,0.01942938007414341,-2.5153089622848963,0.9412000179290771,0.08154696226119995,result_out/fpca_dim_sweep_tm_outputs/seed_111/fpca_dim_012/fpca_dim012_seed111/report.json
222,12,2.0164014131296426e-05,0.019021397456526756,-2.5343209793962145,0.9524000287055969,0.08056651800870895,result_out/fpca_dim_sweep_tm_outputs/seed_222/fpca_dim_012/fpca_dim012_seed222/report.json
333,12,2.0164014131296426e-05,0.0174830574542284,-2.6075448788409874,0.9718000292778015,0.08134070783853531,result_out/fpca_dim_sweep_tm_outputs/seed_333/fpca_dim_012/fpca_dim012_seed333/report.json
555,12,2.0164014131296426e-05,0.02149111032485962,-2.4136276874641402,0.9531999826431274,0.08484267443418503,result_out/fpca_dim_sweep_tm_outputs/seed_555/fpca_dim_012/fpca_dim012_seed555/report.json
42,16,1.1790674761869013e-05,0.01958278939127922,-2.494112938893944,0.9739999771118164,0.08798766136169434,result_out/fpca_dim_sweep_tm_outputs/seed_042/fpca_dim_016/fpca_dim016_seed42/report.json
55,16,1.1790674761869013e-05,0.018370993435382843,-2.5750295069448037,0.9621000289916992,0.08161313831806183,result_out/fpca_dim_sweep_tm_outputs/seed_055/fpca_dim_016/fpca_dim016_seed55/report.json
66,16,1.1790674761869013e-05,0.017133302986621857,-2.6063881265628805,0.9632999897003174,0.08340511471033096,result_out/fpca_dim_sweep_tm_outputs/seed_066/fpca_dim_016/fpca_dim016_seed66/report.json
77,16,1.1790674761869013e-05,0.020190425217151642,-2.4640353546334532,0.9606999754905701,0.08951860666275024,result_out/fpca_dim_sweep_tm_outputs/seed_077/fpca_dim_016/fpca_dim016_seed77/report.json
88,16,1.1790674761869013e-05,0.019537964835762978,-2.4960186996528906,0.9638000130653381,0.08544142544269562,result_out/fpca_dim_sweep_tm_outputs/seed_088/fpca_dim_016/fpca_dim016_seed88/report.json
99,16,1.1790674761869013e-05,0.02081209048628807,-2.467688935880868,0.9557999968528748,0.08689384907484055,result_out/fpca_dim_sweep_tm_outputs/seed_099/fpca_dim_016/fpca_dim016_seed99/report.json
111,16,1.1790674761869013e-05,0.0202622227370739,-2.481234154061792,0.9539999961853027,0.08681231737136841,result_out/fpca_dim_sweep_tm_outputs/seed_111/fpca_dim_016/fpca_dim016_seed111/report.json
222,16,1.1790674761869013e-05,0.01880430243909359,-2.54420097236282,0.9503999948501587,0.08121982216835022,result_out/fpca_dim_sweep_tm_outputs/seed_222/fpca_dim_016/fpca_dim016_seed222/report.json
333,16,1.1790674761869013e-05,0.01684948056936264,-2.624355372343694,0.9847000241279602,0.08188777416944504,result_out/fpca_dim_sweep_tm_outputs/seed_333/fpca_dim_016/fpca_dim016_seed333/report.json
555,16,1.1790674761869013e-05,0.020915841683745384,-2.4458308385254335,0.9621999859809875,0.08508528769016266,result_out/fpca_dim_sweep_tm_outputs/seed_555/fpca_dim_016/fpca_dim016_seed555/report.json
42,24,1.1575433745747432e-05,0.02048337832093239,-2.449628402450284,0.9675999879837036,0.0886206328868866,result_out/fpca_dim_sweep_tm_outputs/seed_042/fpca_dim_024/fpca_dim024_seed42/report.json
55,24,1.1575433745747432e-05,0.019152620807290077,-2.514412145536942,0.970300018787384,0.08760778605937958,result_out/fpca_dim_sweep_tm_outputs/seed_055/fpca_dim_024/fpca_dim024_seed55/report.json
66,24,1.1575433745747432e-05,0.01777816191315651,-2.5653642770368497,0.9599999785423279,0.08663500100374222,result_out/fpca_dim_sweep_tm_outputs/seed_066/fpca_dim_024/fpca_dim024_seed66/report.json
77,24,1.1575433745747432e-05,0.02035205438733101,-2.439309871819407,0.9664000272750854,0.09458330273628235,result_out/fpca_dim_sweep_tm_outputs/seed_077/fpca_dim_024/fpca_dim024_seed77/report.json
88,24,1.1575433745747432e-05,0.019546089693903923,-2.493732634647662,0.9724000096321106,0.08962710946798325,result_out/fpca_dim_sweep_tm_outputs/seed_088/fpca_dim_024/fpca_dim024_seed88/report.json
99,24,1.1575433745747432e-05,0.020452257245779037,-2.4546838817733407,0.968999981880188,0.09334703534841537,result_out/fpca_dim_sweep_tm_outputs/seed_099/fpca_dim_024/fpca_dim024_seed99/report.json
