dataset,setting,seed,comparator,ours_rmse,comparator_rmse,paired_difference,relative_difference_pct
TM,hf100_lfx10,311,AR1/co-kriging,0.018449874594807625,0.027370557188987732,0.008920682594180107,48.35091180885678
TM,hf100_lfx10,311,FPCA-NARGP,0.018449874594807625,0.028879506513476372,0.010429631918668747,56.52955452393142
TM,hf100_lfx10,311,MF-DeepONet,0.018449874594807625,0.029112542970103326,0.010662668375295701,57.79263333473557
TM,hf100_lfx10,355,HF-only,0.019162511453032494,0.04372013732790947,0.024557625874876976,128.15452679607245
TM,hf100_lfx10,355,AR1/co-kriging,0.019162511453032494,0.027480101212859154,0.00831758975982666,43.40553053399684
TM,hf100_lfx10,355,FPCA-NARGP,0.019162511453032494,0.028808139264583588,0.009645627811551094,50.335927183619035
TM,hf100_lfx10,355,MF-DeepONet,0.019162511453032494,0.027850409375126242,0.008687897922093749,45.3379920653296
TM,hf100_lfx10,240,HF-only,0.017531512305140495,0.0438135489821434,0.026282036677002907,149.91311770232525
TM,hf100_lfx10,240,AR1/co-kriging,0.017531512305140495,0.027391396462917328,0.009859884157776833,56.24092198187472
TM,hf100_lfx10,240,FPCA-NARGP,0.017531512305140495,0.028836816549301147,0.011305304244160652,64.48561908059564
TM,hf100_lfx10,240,MF-DeepONet,0.017531512305140495,0.030842886650769577,0.013311374345629082,75.92827198213809
TM,hf100_lfx10,220,HF-only,0.0190130602568388,0.04389176890254021,0.02487870864570141,130.8506274614724
TM,hf100_lfx10,220,AR1/co-kriging,0.0190130602568388,0.027593808248639107,0.008580747991800308,45.13080943249997
TM,hf100_lfx10,220,FPCA-NARGP,0.0190130602568388,0.028832286596298218,0.00981922633945942,51.64463903661982
TM,hf100_lfx10,220,MF-DeepONet,0.0190130602568388,0.030424343480812504,0.011411283223973705,60.018130010760295
TM,hf100_lfx10,322,HF-only,0.019716691225767136,0.04390988126397133,0.024193190038204193,122.70410770843162
TM,hf100_lfx10,322,AR1/co-kriging,0.019716691225767136,0.02738042362034321,0.007663732394576073,38.86926212325412
TM,hf100_lfx10,322,FPCA-NARGP,0.019716691225767136,0.028628412634134293,0.008911721408367157,45.198868848342585
TM,hf100_lfx10,322,MF-DeepONet,0.019716691225767136,0.030313629493167977,0.010596938267400841,53.74602739404891
