dataset,setting,method,seed,split,metric,value,source
AB,hf100_lfx10,HF-only,344,test,y_rmse,0.016885679215192795,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,AR1/co-kriging,344,test,y_rmse,0.016050957143306732,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,Neural-GP MF (ours),344,test,y_rmse,0.013440476730465889,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,HF-only,344,val,r2,0.9679911083158508,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,AR1/co-kriging,344,val,r2,0.981487481756344,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,Neural-GP MF (ours),344,val,r2,0.9881497516312138,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,HF-only,344,test,r2,0.979974356856889,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,AR1/co-kriging,344,test,r2,0.9819053026639566,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,Neural-GP MF (ours),344,test,r2,0.9873124216681554,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,HF-only,344,val,nll_raw,-2.6279259272711615,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,AR1/co-kriging,344,val,nll_raw,-2.730546944793665,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,Neural-GP MF (ours),344,val,nll_raw,-3.1155003837333743,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,HF-only,344,val,nll_cal,-2.6279259272711615,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,AR1/co-kriging,344,val,nll_cal,-2.730546944793665,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,Neural-GP MF (ours),344,val,nll_cal,-3.1155003837333743,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,HF-only,344,test,nll_raw,-2.790178627375269,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,AR1/co-kriging,344,test,nll_raw,-2.7983135336770264,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,Neural-GP MF (ours),344,test,nll_raw,-3.172647545265161,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,HF-only,344,test,nll_cal,-2.790178627375269,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,AR1/co-kriging,344,test,nll_cal,-2.7983135336770264,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,Neural-GP MF (ours),344,test,nll_cal,-3.172647545265161,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,HF-only,344,val,nlpd_raw,-2.6279259272711615,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,AR1/co-kriging,344,val,nlpd_raw,-2.730546944793665,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,Neural-GP MF (ours),344,val,nlpd_raw,-3.1155003837333743,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,HF-only,344,val,nlpd_cal,-2.6279259272711615,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,AR1/co-kriging,344,val,nlpd_cal,-2.730546944793665,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,Neural-GP MF (ours),344,val,nlpd_cal,-3.1155003837333743,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,HF-only,344,test,nlpd_raw,-2.790178627375269,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,AR1/co-kriging,344,test,nlpd_raw,-2.7983135336770264,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,Neural-GP MF (ours),344,test,nlpd_raw,-3.172647545265161,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,HF-only,344,test,nlpd_cal,-2.790178627375269,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,AR1/co-kriging,344,test,nlpd_cal,-2.7983135336770264,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,Neural-GP MF (ours),344,test,nlpd_cal,-3.172647545265161,result_out/final_runs/original/ab/hf100_lfx10/seed_344/ba0r344/report.json
AB,hf100_lfx10,HF-only,333,test,target_rmse,0.016804559156298637,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,AR1/co-kriging,333,test,target_rmse,0.01591612957417965,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,Neural-GP MF (ours),333,test,target_rmse,0.014412667602300644,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,HF-only,333,test,y_rmse,0.016804559156298637,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,AR1/co-kriging,333,test,y_rmse,0.01591612957417965,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,Neural-GP MF (ours),333,test,y_rmse,0.014412667602300644,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,HF-only,333,val,r2,0.967940893868633,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,AR1/co-kriging,333,val,r2,0.981496015459211,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,Neural-GP MF (ours),333,val,r2,0.9891900692927885,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,HF-only,333,test,r2,0.9801663037322554,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,AR1/co-kriging,333,test,r2,0.9822080155439903,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,Neural-GP MF (ours),333,test,r2,0.9854105735567372,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,HF-only,333,val,nll_raw,-2.6305816608890606,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,AR1/co-kriging,333,val,nll_raw,-2.728212395474726,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,Neural-GP MF (ours),333,val,nll_raw,-3.110491036801034,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,HF-only,333,val,nll_cal,-2.6305816608890606,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,AR1/co-kriging,333,val,nll_cal,-2.728212395474726,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,Neural-GP MF (ours),333,val,nll_cal,-3.110491036801034,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,HF-only,333,test,nll_raw,-2.7896534907728516,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,AR1/co-kriging,333,test,nll_raw,-2.7988280358327486,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,Neural-GP MF (ours),333,test,nll_raw,-3.141349988163135,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,HF-only,333,test,nll_cal,-2.7896534907728516,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,AR1/co-kriging,333,test,nll_cal,-2.7988280358327486,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,Neural-GP MF (ours),333,test,nll_cal,-3.141349988163135,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,HF-only,333,val,nlpd_raw,-2.6305816608890606,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,AR1/co-kriging,333,val,nlpd_raw,-2.728212395474726,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,Neural-GP MF (ours),333,val,nlpd_raw,-3.110491036801034,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,HF-only,333,val,nlpd_cal,-2.6305816608890606,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,AR1/co-kriging,333,val,nlpd_cal,-2.728212395474726,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,Neural-GP MF (ours),333,val,nlpd_cal,-3.110491036801034,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,HF-only,333,test,nlpd_raw,-2.7896534907728516,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,AR1/co-kriging,333,test,nlpd_raw,-2.7988280358327486,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,Neural-GP MF (ours),333,test,nlpd_raw,-3.141349988163135,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,HF-only,333,test,nlpd_cal,-2.7896534907728516,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,AR1/co-kriging,333,test,nlpd_cal,-2.7988280358327486,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,Neural-GP MF (ours),333,test,nlpd_cal,-3.141349988163135,result_out/final_runs/original/ab/hf100_lfx10/seed_333/ba0r333/report.json
AB,hf100_lfx10,HF-only,311,test,target_rmse,0.016830146312713623,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,AR1/co-kriging,311,test,target_rmse,0.01611543633043766,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,Neural-GP MF (ours),311,test,target_rmse,0.01329404953867197,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,HF-only,311,test,y_rmse,0.016830146312713623,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,AR1/co-kriging,311,test,y_rmse,0.01611543633043766,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,Neural-GP MF (ours),311,test,y_rmse,0.01329404953867197,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,HF-only,311,val,r2,0.9680303564988556,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,AR1/co-kriging,311,val,r2,0.9812772497158605,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,Neural-GP MF (ours),311,val,r2,0.989450235144876,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,HF-only,311,test,r2,0.98010585948348,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,AR1/co-kriging,311,test,r2,0.9817596335561402,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,Neural-GP MF (ours),311,test,r2,0.9875873637366032,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,HF-only,311,val,nll_raw,-2.631949410596878,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,AR1/co-kriging,311,val,nll_raw,-2.7233549424535695,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,Neural-GP MF (ours),311,val,nll_raw,-3.1354921773867286,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,HF-only,311,val,nll_cal,-2.631949410596878,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
AB,hf100_lfx10,AR1/co-kriging,311,val,nll_cal,-2.7233549424535695,result_out/final_runs/original/ab/hf100_lfx10/seed_311/ba0r311/report.json
