dataset,setting,method,split,metric,n,mean,std,median,min,max,ci95_low,ci95_high
AB,hf300_lfx10,FPCA-NARGP,test,gaussian_nll,20,-3.0566780368362223,0.005592003761206334,-3.055986324959398,-3.0690380302109883,-3.045611196768399,-3.0592951751572213,-3.0540608985152233
AB,hf300_lfx10,FPCA-NARGP,test,gaussian_nlpd,20,-3.0566780368362223,0.005592003761206334,-3.055986324959398,-3.0690380302109883,-3.045611196768399,-3.0592951751572213,-3.0540608985152233
AB,hf300_lfx10,FPCA-NARGP,test,interval_width_raw,20,0.06368187740445137,0.00037554201697448527,0.06366969272494316,0.06293049454689026,0.06445818394422531,0.06350611833029132,0.06385763647861142
AB,hf300_lfx10,FPCA-NARGP,test,r2,20,0.9905195184853911,0.00014501965765110298,0.9905129981393832,0.9902082081027924,0.99081324758086,0.9904516471963963,0.9905873897743859
AB,hf300_lfx10,FPCA-NARGP,test,rmse,20,0.011617921385914087,8.884441458241547e-05,0.011622230522334576,0.011436847038567066,0.01180745754390955,0.011576340919959573,0.011659501851868601
AB,hf300_lfx10,FPCA-NARGP,val,coverage_raw,20,0.9825083404779434,0.0011928047061627494,0.982450008392334,0.980400025844574,0.984333336353302,0.9819500906914138,0.9830665902644731
AB,hf300_lfx10,FPCA-NARGP,val,gaussian_nll,20,-3.0276421086217313,0.0035531661971897398,-3.0273516480267695,-3.035339467750048,-3.0191203221930865,-3.0293050415904204,-3.0259791756530423
AB,hf300_lfx10,FPCA-NARGP,val,gaussian_nlpd,20,-3.0276421086217313,0.0035531661971897398,-3.0273516480267695,-3.035339467750048,-3.0191203221930865,-3.0293050415904204,-3.0259791756530423
AB,hf300_lfx10,FPCA-NARGP,val,interval_width_raw,20,0.06266519520431757,0.00024027753937352631,0.06265604496002197,0.06225377693772316,0.0631120502948761,0.06255274185435163,0.06277764855428351
AB,hf300_lfx10,FPCA-NARGP,val,r2,20,0.990771786729808,0.00014826581103866574,0.9907489293921228,0.9904890157732057,0.9911387972427499,0.9907023961942624,0.9908411772653537
AB,hf300_lfx10,FPCA-NARGP,val,rmse,20,0.012730448786169291,0.00010252132452395859,0.012746594846248627,0.012475117109715939,0.012924418784677982,0.012682467329326827,0.012778430243011755
AB,hf300_lfx10,HF-only,test,nll_cal,20,-2.9890976895069787,0.004228175830221986,-2.9886504034721604,-2.9980567703774494,-2.977551225633235,-2.991076536708399,-2.9871188423055584
AB,hf300_lfx10,HF-only,test,nll_raw,20,-2.9890976895069787,0.004228175830221986,-2.9886504034721604,-2.9980567703774494,-2.977551225633235,-2.991076536708399,-2.9871188423055584
AB,hf300_lfx10,HF-only,test,nlpd_cal,20,-2.9890976895069787,0.004228175830221986,-2.9886504034721604,-2.9980567703774494,-2.977551225633235,-2.991076536708399,-2.9871188423055584
AB,hf300_lfx10,HF-only,test,nlpd_raw,20,-2.9890976895069787,0.004228175830221986,-2.9886504034721604,-2.9980567703774494,-2.977551225633235,-2.991076536708399,-2.9871188423055584
AB,hf300_lfx10,HF-only,test,r2,20,0.9882699668523476,0.00014398352377003514,0.9882317971361397,0.9880987337183367,0.9886609848735574,0.988202580488936,0.9883373532157591
AB,hf300_lfx10,HF-only,test,target_rmse,20,0.012923111720010639,7.955558184681497e-05,0.012944353744387627,0.012706120498478413,0.013017329387366772,0.012885878561595211,0.012960344878426067
AB,hf300_lfx10,HF-only,test,y_rmse,20,0.012923111720010639,7.955558184681497e-05,0.012944353744387627,0.012706120498478413,0.013017329387366772,0.012885878561595211,0.012960344878426067
AB,hf300_lfx10,HF-only,val,nll_cal,20,-2.88789360272427,0.0025537939679180447,-2.88789731677865,-2.8920168682562766,-2.8813176684344306,-2.889088815092284,-2.886698390356256
AB,hf300_lfx10,HF-only,val,nll_raw,20,-2.88789360272427,0.0025537939679180447,-2.88789731677865,-2.8920168682562766,-2.8813176684344306,-2.889088815092284,-2.886698390356256
AB,hf300_lfx10,HF-only,val,nlpd_cal,20,-2.88789360272427,0.0025537939679180447,-2.88789731677865,-2.8920168682562766,-2.8813176684344306,-2.889088815092284,-2.886698390356256
AB,hf300_lfx10,HF-only,val,nlpd_raw,20,-2.88789360272427,0.0025537939679180447,-2.88789731677865,-2.8920168682562766,-2.8813176684344306,-2.889088815092284,-2.886698390356256
AB,hf300_lfx10,HF-only,val,r2,20,0.987536667551393,9.466067221119099e-05,0.9875460160973116,0.9872972295578425,0.9877102607812267,0.9874923649930768,0.9875809701097092
AB,hf300_lfx10,MF-DeepONet,test,r2,20,0.9911706790493404,0.0015274770377927936,0.9916649631059984,0.9874997563049597,0.9930032390046671,0.9904557977901778,0.9918855603085031
AB,hf300_lfx10,MF-DeepONet,test,rmse,20,0.011174378412863464,0.000943454546332895,0.010893673082311206,0.009980994412335735,0.01334088169293157,0.01073282809337731,0.01161592873234962
