dataset,setting,comparator,n_paired,mean_ours_rmse,mean_comparator_rmse,mean_paired_difference,std_paired_difference,paired_difference_ci95_low,paired_difference_ci95_high,relative_difference_pct
TM,hf100_lfx10,MF-DeepONet,20,0.019383760634809732,0.02855577392011393,0.009172013285304198,0.0018497469899377544,0.008306305045781465,0.010037721524826931,47.31802800346656
TM,hf200_lfx10,AR1/co-kriging,20,0.015607063891366124,0.024317508935928343,0.008710445044562221,0.0009985800522791751,0.00824309519413202,0.009177794894992422,55.810914244932796
TM,hf200_lfx10,FPCA-NARGP,20,0.015607063891366124,0.027771381102502345,0.012164317211136222,0.0010312125004930891,0.011681694904825159,0.012646939517447286,77.94109959314999
TM,hf200_lfx10,HF-only,20,0.015607063891366124,0.03400623518973589,0.018399171298369765,0.001018935582033175,0.017922294766764383,0.018876047829975148,117.89002355880815
TM,hf200_lfx10,MF-DeepONet,20,0.015607063891366124,0.023152370670711204,0.007545306779345081,0.0015840068520775704,0.006803968752704928,0.008286644805985234,48.345459670471186
TM,hf300_lfx10,AR1/co-kriging,20,0.013720156438648701,0.02163119288161397,0.007911036442965268,0.0009605387618640582,0.007461490464488146,0.00836058242144239,57.659958021181474
TM,hf300_lfx10,FPCA-NARGP,20,0.013720156438648701,0.027193512953817844,0.013473356515169144,0.001012122583464679,0.012999668565044737,0.01394704446529355,98.20118724897085
TM,hf300_lfx10,HF-only,20,0.013720156438648701,0.029936802759766578,0.016216646321117877,0.0009090085617683464,0.01579121721865125,0.016642075423584504,118.19578292443329
TM,hf300_lfx10,MF-DeepONet,20,0.013720156438648701,0.021017820064060177,0.007297663625411474,0.0018878995676224963,0.006414099429890227,0.00818122782093272,53.189361637703186
TM,hf400_lfx10,AR1/co-kriging,20,0.012910927506163716,0.02079160902649164,0.007880681520327925,0.0006092065104736483,0.0075955640969414566,0.008165798943714395,61.038848809008215
