seed,hf,lf_mult,dataset_name,status,metrics.y_rmse.hf_only,metrics.y_rmse.ar1,metrics.y_rmse.ours
388,500,10,hf500_lfx10,BAD,,,
250,500,10,hf500_lfx10,OK,0.0250488873571157,0.0194912739098072,0.0139968590810894
250,500,10,hf500_lfx10,BAD,,,
230,500,10,hf500_lfx10,OK,0.0251109283417463,0.0197827704250812,0.0138031896203756
230,500,10,hf500_lfx10,BAD,,,
322,500,10,hf500_lfx10,OK,0.0247566625475883,0.0197818558663129,0.0149522861465811
322,500,10,hf500_lfx10,BAD,,,
290,500,10,hf500_lfx10,OK,0.0250674597918987,0.0194825921207666,0.012690469622612
290,500,10,hf500_lfx10,BAD,,,
200,500,10,hf500_lfx10,OK,0.0249822605401277,0.0199338849633932,0.0118011441081762
200,500,10,hf500_lfx10,BAD,,,
333,500,10,hf500_lfx10,OK,0.0252169426530599,0.0194582547992467,0.0128057049587368
333,500,10,hf500_lfx10,BAD,,,
366,200,5,hf200_lfx05,OK,0.0340549014508724,0.0259143598377704,0.0170714855194091
366,200,5,hf200_lfx05,BAD,,,
300,200,5,hf200_lfx05,OK,0.0340488627552986,0.0259097907692194,0.0161073431372642
300,200,5,hf200_lfx05,BAD,,,
210,200,5,hf200_lfx05,OK,0.0338851287961006,0.0258678440004587,0.0140986461192369
210,200,5,hf200_lfx05,BAD,,,
220,200,5,hf200_lfx05,OK,0.0342871695756912,0.0261493865400552,0.0161280240863561
220,200,5,hf200_lfx05,BAD,,,
377,200,5,hf200_lfx05,OK,0.033783733844757,0.0258888117969036,0.015405056066811
377,200,5,hf200_lfx05,BAD,,,
260,200,5,hf200_lfx05,OK,0.0337712801992893,0.0258911605924367,0.0149022350087761
260,200,5,hf200_lfx05,BAD,,,
240,200,5,hf200_lfx05,OK,0.0339758582413196,0.0258030891418457,0.0155191216617822
240,200,5,hf200_lfx05,BAD,,,
355,200,5,hf200_lfx05,OK,0.0340994112193584,0.0259971842169761,0.0150904301553964
355,200,5,hf200_lfx05,BAD,,,
311,200,5,hf200_lfx05,OK,0.0340789519250392,0.0259842108935117,0.0159163679927587
311,200,5,hf200_lfx05,BAD,,,
280,200,5,hf200_lfx05,OK,0.0340711213648319,0.0259063392877578,0.0152295343577861
280,200,5,hf200_lfx05,BAD,,,
399,200,5,hf200_lfx05,OK,0.0339005403220653,0.0258609987795352,0.0166288390755653
399,200,5,hf200_lfx05,BAD,,,
270,200,5,hf200_lfx05,OK,0.0338228270411491,0.0258962605148553,0.0167351756244897
270,200,5,hf200_lfx05,BAD,,,
344,200,5,hf200_lfx05,OK,0.0338692292571067,0.0258117839694023,0.0173553470522165
344,200,5,hf200_lfx05,BAD,,,
388,200,5,hf200_lfx05,OK,0.0339933224022388,0.0257665161043405,0.0177092608064413
388,200,5,hf200_lfx05,BAD,,,
250,200,5,hf200_lfx05,OK,0.0340742096304893,0.0259757135063409,0.0160251595079898
250,200,5,hf200_lfx05,BAD,,,
230,200,5,hf200_lfx05,OK,0.0339022539556026,0.0258611496537923,0.0156807303428649
230,200,5,hf200_lfx05,BAD,,,
322,200,5,hf200_lfx05,OK,0.0342244133353233,0.0259248968213796,0.0169323869049549
322,200,5,hf200_lfx05,BAD,,,
290,200,5,hf200_lfx05,OK,0.0338284820318222,0.025954395532608,0.0162694137543439
290,200,5,hf200_lfx05,BAD,,,
200,200,5,hf200_lfx05,OK,0.0344218425452709,0.0258993953466415,0.0157666727900505
200,200,5,hf200_lfx05,BAD,,,
333,200,5,hf200_lfx05,OK,0.0340311639010906,0.0258993655443191,0.0166399013251066
333,200,5,hf200_lfx05,BAD,,,
366,400,5,hf400_lfx05,OK,0.0267202239483594,0.0216166526079177,0.0140386661514639
366,400,5,hf400_lfx05,BAD,,,
300,400,5,hf400_lfx05,OK,0.0268869865685701,0.0218834578990936,0.013278404250741
300,400,5,hf400_lfx05,BAD,,,
210,400,5,hf400_lfx05,OK,0.0268115624785423,0.0215280763804912,0.013968932442367
210,400,5,hf400_lfx05,BAD,,,
220,400,5,hf400_lfx05,OK,0.026846595108509,0.0213966313749551,0.0143461236730217
220,400,5,hf400_lfx05,BAD,,,
377,400,5,hf400_lfx05,OK,0.0269390270113945,0.0214896164834499,0.0129080163314938
377,400,5,hf400_lfx05,BAD,,,
260,400,5,hf400_lfx05,OK,0.0266289263963699,0.0215231981128454,0.0141324670985341
260,400,5,hf400_lfx05,BAD,,,
240,400,5,hf400_lfx05,OK,0.0268598161637783,0.0216103252023458,0.0141871254891157
240,400,5,hf400_lfx05,BAD,,,
355,400,5,hf400_lfx05,OK,0.0269837770611047,0.0216342266649007,0.0144435716792941
355,400,5,hf400_lfx05,BAD,,,
311,400,5,hf400_lfx05,OK,0.0270350333303213,0.0214189458638429,0.0135631011798977
311,400,5,hf400_lfx05,BAD,,,
280,400,5,hf400_lfx05,OK,0.0265268646180629,0.0216394569724798,0.014284030534327
280,400,5,hf400_lfx05,BAD,,,
399,400,5,hf400_lfx05,OK,0.0267547685652971,0.0216101724654436,0.0147959142923355
399,400,5,hf400_lfx05,BAD,,,
270,400,5,hf400_lfx05,OK,0.0268656127154827,0.0212828181684017,0.0158043820410966
